Country,Year,State/Province,ISO_Code,Economic Freedom Summary Index,Rank,Quantile,General Consumption Expenditure,Transfers and subsidies,Insurance and Retirement Payments,Government enterprises and investment,Government Spending,Income and Payroll Tax Revenue,Top Marginal Income Tax Rate,Top Marginal Income Payroll tax Rate,world-adjusted,Property Tax and Other Taxes,Sales Tax Revenue,Taxes,Minimum Wage Legislation,Government Employment,Union Density,Hiring regulations and minimum wage,Labor Market Freedom,Credit Market Regulation,Business Regulations,Labor Market Freedom.1
USA,1981,Alaska,US-AK,2.97,49,4,0,2.37,6.35,,2.91,0,,,10,0.66,8.94,4.9,1.82,1.46,0,,,,,1.09
USA,1981,Alabama,US-AL,5.48,19,2,9.38,4.53,8.99,,7.63,6.49,,,9,10,2.91,7.1,0,4.26,0.89,,,,,1.72
USA,1981,Arkansas,US-AR,5.89,10,1,10,5.82,9.16,,8.33,5.78,,,6.5,9.23,5.04,6.64,0,5.96,2.11,,,,,2.69
USA,1981,Arizona,US-AZ,6.09,5,1,10,8.3,9.87,,9.39,6.5,,,9,6.59,3.69,6.45,0,4.7,2.57,,,,,2.42
USA,1981,California,US-CA,4.14,42,4,9.52,0,6.67,,5.4,3.73,,,3,7.72,4.87,4.83,0,6.56,0,,,,,2.19
USA,1981,Colorado,US-CO,5.93,8,1,10,5.53,9.04,,8.19,6.91,,,9,6.5,5.66,7.02,0,6.5,1.31,,,,,2.6
USA,1981,Connecticut,US-CT,5.64,17,2,10,2.32,8.97,,7.1,8.49,,,10,4.01,5,6.88,0.4,8.42,0,,,,,2.94
USA,1981,Delaware,US-DE,4.27,39,4,9.52,2.46,7.86,,6.61,1.85,,,2,4.73,9.44,4.51,0,5.04,0,,,,,1.68
USA,1981,Florida,US-FL,6.75,2,1,10,8.65,10,,9.55,9.29,,,10,7.49,4.57,7.84,0,6.86,1.77,,,,,2.88
USA,1981,Georgia,US-GA,5.75,15,2,10,6.75,9.49,,8.75,5.64,,,6,8.44,4.53,6.15,0,4.96,2.1,,,,,2.35
USA,1981,Hawaii,US-HI,4.42,37,3,9.95,0,8.61,,6.19,4.22,,,3.5,9.97,0.85,4.64,0,7.3,0,,,,,2.43
USA,1981,Iowa,US-IA,5.01,29,3,9.55,3.2,8.92,,7.22,5.13,,,9,3.38,6.87,6.1,0,5.12,0,,,,,1.71
USA,1981,Idaho,US-ID,5.42,21,2,9.94,6.58,8.35,,8.29,4.42,,,5,6.89,6.84,5.79,0,4.75,1.74,,,,,2.16
USA,1981,Illinois,US-IL,4.51,36,3,10,0,6,,5.33,5.24,,,9,4.68,4.99,5.98,0,6.63,0,,,,,2.21
USA,1981,Indiana,US-IN,5.75,15,2,10,6.38,7.94,,8.11,6.9,,,9,6.43,5.57,6.97,0,6.56,0,,,,,2.19
USA,1981,Kansas,US-KS,5.03,28,3,10,3.97,9.33,,7.77,6.2,,,4.5,4.78,6.49,5.49,0,5.14,0.37,,,,,1.84
USA,1981,Kentucky,US-KY,4.93,31,3,10,1.84,6.67,,6.17,4.12,,,6,9.87,5.36,6.34,0,6.82,0,,,,,2.27
USA,1981,Louisiana,US-LA,5.57,18,2,9.08,5.74,7.11,,7.31,8.29,,,10,10,2.61,7.72,0,3.64,1.36,,,,,1.67
USA,1981,Massachusetts,US-MA,4.25,40,4,9.32,0,6.86,,5.39,3.96,,,7,1.31,7.43,4.92,0,7.26,0,,,,,2.42
USA,1981,Maryland,US-MD,5.05,27,2,10,3.32,8.51,,7.28,3.6,,,7,7.39,6.65,6.16,0,4.7,0.46,,,,,1.72
USA,1981,Maine,US-ME,4.2,41,4,9.27,1.14,7.03,,5.81,6.06,,,4.5,3.52,5,4.77,0,6.06,0,,,,,2.02
USA,1981,Michigan,US-MI,3.29,48,4,8.42,0,4.47,,4.3,0.22,,,7,2.82,6.66,4.17,0,4.23,0,,,,,1.41
USA,1981,Minnesota,US-MN,3.91,44,4,8.55,1.57,7.9,,6,1.86,,,0.5,6.07,6.24,3.67,0,6.13,0,,,,,2.04
USA,1981,Missouri,US-MO,6,7,1,10,4.78,9.41,,8.06,6.54,,,9,8.25,5.73,7.38,0,7.64,0,,,,,2.55
USA,1981,Mississippi,US-MS,5.37,24,2,8.31,3.85,9.05,,7.07,7.48,,,8,8.98,2.62,6.77,0,3.11,3.7,,,,,2.27
USA,1981,Montana,US-MT,4.77,32,3,8.83,6.06,6.68,,7.19,4.74,,,8.5,0.08,9.38,5.67,0,3.77,0.54,,,,,1.44
USA,1981,North Carolina,US-NC,5.82,12,1,9.73,5.7,8.93,,8.12,4.89,,,6,8.37,5.78,6.26,0,5.78,3.44,,,,,3.08
USA,1981,North Dakota,US-ND,5.79,14,2,8.39,6.7,8.9,,8,6.16,,,9.5,6.14,6.17,6.99,0,5.66,1.5,,,,,2.38
USA,1981,Nebraska,US-NE,5.39,23,2,10,6.71,10,,8.9,7.65,,,4,3.72,5.88,5.31,0,4.02,1.82,,,,,1.95
USA,1981,New Hampshire,US-NH,6.36,3,1,10,6.26,10,,8.75,9.03,,,10,2.06,9.17,7.56,0,6.98,1.32,,,,,2.77
USA,1981,New Jersey,US-NJ,4.54,35,3,10,1.35,6.9,,6.08,5.28,,,9,2.42,6.57,5.82,0,5.16,0,,,,,1.72
USA,1981,New Mexico,US-NM,5.22,26,2,8.2,4.99,9.8,,7.66,8.29,,,7,9.63,1.09,6.5,0,0.79,3.72,,,,,1.5
USA,1981,Nevada,US-NV,5.82,12,1,10,9.8,5.16,,8.32,6.73,,,10,6.15,3,6.47,0,8,0,,,,,2.67
USA,1981,New York,US-NY,2.71,50,4,7.9,0,5.95,,4.62,0,,,1,2.34,4.71,2.01,0,4.52,0,,,,,1.51
USA,1981,Ohio,US-OH,4.36,38,4,10,1.82,2.59,,4.8,2.74,,,8.5,6.61,6.55,6.1,0,6.5,0,,,,,2.17
USA,1981,Oklahoma,US-OK,5.92,9,1,10,4.03,10,,8.01,7.07,,,6,9.51,5.59,7.04,0,5.77,2.37,,,,,2.71
USA,1981,Oregon,US-OR,3.72,46,4,8.69,2.35,5.62,,5.55,0.16,,,4,2.01,10,4.04,0,4.72,0,,,,,1.57
USA,1981,Pennsylvania,US-PA,4.63,34,3,10,0,5.53,,5.18,3.27,,,9,5.69,6.26,6.06,0,7.98,0,,,,,2.66
USA,1981,Puerto Rico,US-PR,,,,,,,,,,,,,,,,,,,,,,,
USA,1981,Rhode Island,US-RI,3.91,44,4,8.68,0,7.08,,5.25,4.35,,,3,3.25,5.92,4.13,0,7,0,,,,,2.33
USA,1981,South Carolina,US-SC,5.88,11,1,9.62,6.41,8.67,,8.23,5.29,,,6,8.69,4.87,6.21,0,4.95,4.67,,,,,3.2
USA,1981,South Dakota,US-SD,5.4,22,2,9.54,1.81,10,,7.12,10,,,10,3.34,3.76,6.78,0,4.52,2.4,,,,,2.31
USA,1981,Tennessee,US-TN,6.15,4,1,10,7.87,8.34,,8.74,8.93,,,10,7.19,3.29,7.35,0,6.46,0.65,,,,,2.37
USA,1981,Texas,US-TX,6.94,1,1,10,8.79,10,,9.6,10,,,10,6.42,5.05,7.87,0,7.39,2.7,,,,,3.36
USA,1981,Utah,US-UT,5.25,25,2,9.07,4.76,8.49,,7.44,4.57,,,9,7.2,4.04,6.2,0,4.79,1.56,,,,,2.12
USA,1981,Virginia,US-VA,6.03,6,1,10,5.23,10,,8.41,5.92,,,7,7.58,6.45,6.74,0,5.9,2.94,,,,,2.95
USA,1981,Vermont,US-VT,4.04,43,4,8.72,0,8.32,,5.68,5.51,,,1,2.48,6.47,3.86,0,6.56,1.17,,,,,2.58
USA,1981,Washington,US-WA,4.96,30,3,10,2.78,5.88,,6.22,8.44,,,10,7.07,1.92,6.86,0,5.43,0,,,,,1.81
USA,1981,Wisconsin,US-WI,4.66,33,3,8.33,7.18,6.98,,7.5,2.58,,,4.5,4.51,6.53,4.53,0,5.84,0,,,,,1.95
USA,1981,West Virginia,US-WV,3.66,47,4,8.91,5.89,2.54,,5.78,4.01,,,3,8.27,1.86,4.28,0,2.71,0,,,,,0.9
USA,1981,Wyoming,US-WY,5.43,20,2,8.81,8.3,8.42,,8.51,9.07,,,10,0,2.92,5.5,0,3.96,2.84,,,,,2.27
USA,1982,Alaska,US-AK,3.78,45,4,1.62,3.87,6.66,,4.05,0,,,10,2.5,9.12,5.41,3.89,1.76,0,,,,,1.88
USA,1982,Alabama,US-AL,5.52,19,2,9.06,5.28,8.81,,7.72,6.8,,,9,10,2.93,7.18,0,4.07,0.89,,,,,1.66
USA,1982,Arkansas,US-AR,5.95,9,1,9.88,7.09,9.02,,8.66,6.01,,,6,9.19,5.04,6.56,0,5.77,2.11,,,,,2.63
USA,1982,Arizona,US-AZ,5.97,7,1,10,8.24,9.51,,9.25,6.53,,,8,6.47,4.18,6.29,0,4.52,2.57,,,,,2.36
USA,1982,California,US-CA,4.12,41,4,9.48,0,6.19,,5.22,3.76,,,3,7.35,4.94,4.76,0.47,6.67,0,,,,,2.38
USA,1982,Colorado,US-CO,5.73,16,2,10,5.13,8.66,,7.93,6.62,,,8,6.11,5.31,6.51,0,6.95,1.31,,,,,2.75
USA,1982,Connecticut,US-CT,5.82,12,1,10,2.93,8.89,,7.27,8.26,,,10,3.88,4.93,6.77,1.72,8.56,0,,,,,3.43
USA,1982,Delaware,US-DE,4.57,37,3,9.71,3.78,9.08,,7.52,1.87,,,1.5,4.9,9.4,4.42,0,5.32,0,,,,,1.77
USA,1982,Florida,US-FL,6.64,2,1,10,8.07,10,,9.36,9.34,,,10,6.78,4.56,7.67,0,6.9,1.77,,,,,2.89
USA,1982,Georgia,US-GA,5.66,18,2,9.7,6.71,9.19,,8.53,5.74,,,6,8.05,4.67,6.11,0,4.89,2.1,,,,,2.33
USA,1982,Hawaii,US-HI,4.34,40,4,9.71,0,7.96,,5.89,5.47,,,3.5,9.18,0.82,4.74,0,7.17,0,,,,,2.39
USA,1982,Iowa,US-IA,4.61,35,3,9.08,3.8,8.46,,7.11,4.87,,,6.5,2.59,6.6,5.14,0,4.71,0,,,,,1.57
USA,1982,Idaho,US-ID,5.23,23,2,9.78,7.27,6.64,,7.9,4.2,,,5,6.79,6.83,5.71,0,4.52,1.74,,,,,2.09
USA,1982,Illinois,US-IL,4.61,35,3,10,0,6.45,,5.48,5.41,,,9,5.09,5.09,6.15,0,6.55,0,,,,,2.18
USA,1982,Indiana,US-IN,5.83,10,1,10,6.19,9.05,,8.41,7.08,,,9,6.57,5.2,6.97,0,6.34,0,,,,,2.11
USA,1982,Kansas,US-KS,5.15,28,2,10,4.7,9.72,,8.14,6.79,,,4,4.66,6.63,5.52,0,4.99,0.37,,,,,1.78
USA,1982,Kentucky,US-KY,5.3,21,2,10,4.2,7.32,,7.17,4.36,,,6,9.87,5.24,6.37,0,7.05,0,,,,,2.35
USA,1982,Louisiana,US-LA,5.23,23,2,8.65,5.68,6.83,,7.05,7.82,,,8.5,10,2.25,7.14,0,3.14,1.36,,,,,1.5
