DATE,Alabama,Alaska,Georgia,Hawaii,Idaho,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/1980,7957,15507,8602,11867,8856,9671,7597,11945,11019,12365,10809,10145,10950,9365,9607,10075,8152,8849,8567,11473,10684,10230,10282,7166,9370,9142,9386,11951,10039,11801,8647,11001,8348,8053,9924,9629,10234,10034,9898,7965,8269,8277,9983,8366,8790,10567,11130,8011,10034,11612
1/1/1981,8796,17091,9600,12711,9600,10764,8592,13158,12386,13821,11903,11354,12136,10292,10894,11342,9056,10059,9401,12680,11873,10995,11321,8008,10445,10303,10859,12991,11229,13131,9604,12277,9317,10462,10813,11047,10933,11088,10980,8845,9646,9159,11413,9167,9832,11700,12133,8726,10920,12812
1/1/1982,9272,19424,10242,13249,9961,11141,9024,13793,13230,14878,12742,11942,12869,10686,11268,12213,9611,10656,10188,13685,13013,11499,12070,8395,11174,10741,11646,13343,12219,14142,10282,13327,9872,11141,11349,11907,11260,11859,11812,9320,10151,9696,12102,9669,10600,12535,12769,9268,11517,13066
1/1/1983,9906,19478,11064,14262,10795,11941,9513,14582,13944,15798,13431,12846,13412,11243,11548,12643,9949,11017,10896,14557,14044,12332,12696,8744,11885,11151,12022,13892,13269,15190,10819,14286,10637,11573,12026,11876,12026,12433,12741,10033,10491,10313,12575,10116,11289,13341,13553,9537,12114,12870
1/1/1984,10848,19701,12316,15052,11399,13060,10543,15895,15030,17572,14671,13939,14784,12460,12924,13827,11111,11704,11930,15959,15739,13612,14351,9514,13103,11698,13354,14760,14717,16708,11626,15749,11863,12429,13286,12761,12970,13455,13911,11059,11864,11411,13546,10984,12335,14642,14373,10344,13285,13581
1/1/1985,11604,20593,13196,15824,12004,14000,11165,16795,15733,18743,15743,14829,15545,13154,13505,14524,11588,12166,12807,17109,16893,14720,15143,9976,13948,11843,14103,15561,15894,17788,12392,16815,12635,12912,14106,13330,13590,14308,14876,11719,12143,12132,14353,11607,13284,15627,15085,10890,13960,14330
1/1/1986,12223,20331,14109,16599,12297,14733,11708,17588,16200,20024,16503,15610,16370,13868,14141,15193,11936,12184,13779,18174,18152,15562,15937,10326,14616,12443,14609,16305,17081,18902,12665,17915,13477,13248,14771,13491,14243,15031,15811,12377,12711,12918,14427,12053,14182,16577,15917,11295,14702,14387
1/1/1987,12864,19688,14888,17435,12918,15280,12139,18482,16685,21693,17575,16436,17310,14664,14954,15805,12624,12415,14766,19276,19552,16061,16878,10942,15296,12916,15362,17075,18365,20251,13059,19064,14349,13814,15436,13630,14881,15885,16721,13126,13413,13787,14653,12511,15210,17542,16556,11728,15445,14392
1/1/1988,13807,20420,15959,18964,13966,16044,13022,19605,17643,23738,18925,17601,18669,15646,15446,16533,13743,13263,16013,20769,21358,17089,17556,11744,16162,13356,16371,18458,19696,22120,13689,20827,15522,12920,16508,14405,15969,17150,18305,14137,13962,14857,15494,13218,16328,18870,17613,12697,16269,15056
1/1/1989,14986,22133,16942,20897,15232,16803,13946,20561,18930,25659,20707,19081,19888,16942,16803,17433,14784,14185,17223,22127,22477,18332,18992,12717,17277,14726,17338,19653,20685,23692,14532,22461,16708,14671,17703,15402,17235,18543,19839,15190,15060,15847,16417,14050,17782,20136,19028,13618,17612,16673
1/1/1990,15861,23213,17835,22433,16152,17323,14622,21485,19853,26394,21457,19763,21025,17768,17628,18438,15613,15369,17756,23104,23118,19051,19935,13356,17920,15469,18487,20516,20682,24754,15314,23990,17485,16084,18683,16235,18159,19566,20316,16109,16475,16709,17455,15010,18233,20840,20222,14608,18438,18147
1/1/1991,16572,23510,18322,23253,16509,17731,15299,21857,20549,26588,22247,20073,21253,18121,17924,18934,16345,16084,17986,23605,23486,19298,20322,13964,18559,16298,18989,21228,21436,25072,16034,23868,17967,16340,18973,16589,18670,20244,20419,16495,17006,17318,17897,15656,18465,21431,21129,15182,18936,18818
1/1/1992,17583,24240,19360,24542,17640,18309,16438,22678,21625,28560,22814,20825,22724,19411,19086,20115,17407,17066,18833,24503,24628,20280,21581,14888,19578,16971,19984,22554,22337,26713,16800,25061,19236,17849,20056,17399,19546,21250,21329,17316,18156,18625,18956,16401,19627,22398,22237,16277,20179,19583
1/1/1993,18129,25036,20087,25133,18688,18950,16956,23013,22639,29417,23312,21641,23317,20232,19053,20853,17871,17809,19395,25239,25471,21219,21947,15667,20265,17950,20478,23360,22831,27374,17616,25581,20085,18009,20752,17910,20452,21930,22180,17991,18737,19482,19624,17115,20218,23192,22860,16780,20986,20419
1/1/1994,18977,25713,21090,25400,19368,19869,17758,23581,23625,30188,23922,22310,24349,21297,20677,21599,18604,18840,20187,26161,26607,22687,23242,16737,21296,18095,21617,24335,24088,28110,18291,26259,20951,19460,21816,18537,21475,22616,22728,18867,19962,20357,20287,17933,20977,24098,23600,17480,22088,21034
